#@주소#,,,,NNP,*,F,#@주소#,*,*,*,*,*
#@이모티콘#,,,,NNP,*,F,#@이모티콘#,*,*,*,*,*
#@시스템#,,,,NNP,*,F,#@시스템#,*,*,*,*,*
#@이름#,,,,NNP,*,F,#@이름#,*,*,*,*,*
#@URL#,,,,NNP,*,F,#@URL#,*,*,*,*,*
#@소속#,,,,NNP,*,F,#@소속#,*,*,*,*,*
#@기타#,,,,NNP,*,F,#@기타#,*,*,*,*,*
#@전번#,,,,NNP,*,F,#@전번#,*,*,*,*,*
#@계정#,,,,NNP,*,F,#@계정#,*,*,*,*,*
#@url#,,,,NNP,*,F,#@url#,*,*,*,*,*
#@번호#,,,,NNP,*,F,#@번호#,*,*,*,*,*
#@금융#,,,,NNP,*,F,#@금융#,*,*,*,*,*
#@신원#,,,,NNP,*,F,#@신원#,*,*,*,*,*
#@장소#,,,,NNP,*,F,#@장소#,*,*,*,*,*
#@시스템#사진#,,,,NNP,*,F,#@시스템#사진#,*,*,*,*,*
#@시스템#동영상#,,,,NNP,*,F,#@시스템#동영상#,*,*,*,*,*
#@시스템#기타#,,,,NNP,*,F,#@시스템#기타#,*,*,*,*,*
#@시스템#검색#,,,,NNP,*,F,#@시스템#검색#,*,*,*,*,*
#@시스템#지도#,,,,NNP,*,F,#@시스템#지도#,*,*,*,*,*
#@시스템#삭제#,,,,NNP,*,F,#@시스템#삭제#,*,*,*,*,*
#@시스템#파일#,,,,NNP,*,F,#@시스템#파일#,*,*,*,*,*
#@시스템#송금#,,,,NNP,*,F,#@시스템#송금#,*,*,*,*,*
